단어,한국수어사전 URL,수형 사진 URL,수형 설명,수어 동영상 URL (MP4)
잉글랜드,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10912,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234135/IMG000228997_700X466.jpg,왼 주먹의 1지를 펴서 모로 세우고 그 중간에 오른 주먹의 1지를 펴서 모로 세워 ‘+’자로 대고 좌우로 움직인다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040148/MOV000360625_700X466.mp4
인형/꼭두각시,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10905,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/236103/IMG000231501_700X466.jpg,"오른 주먹의 1지를 펴서 끝을 오른쪽 볼에 댄 다음, 두 손 각각 2·5지 끝을 맞대어 동그라미를 만들어 오른손이 왼손보다 약간 위에 놓이게 하여 상하로 약간 움직인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630972/MOV000257259_700X466.mp4
이외/기타,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11519,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151216/229115/IMG000222414_700X466.jpg,왼손을 구부려 올려 손가락을 움직이며 동시에 오른 주먹의 1·5지 끝을 맞대어 상하로 두 번 흔든다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631977/MOV000249884_700X466.mp4
ㅡ,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10880,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/234958/IMG000230032_700X466.jpg,오른 주먹의 1지를 펴서 끝이 왼쪽으로 향하게 모로 세운다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005890/MOV000359892_700X466.mp4
ㅞ,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10872,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234551/IMG000229488_700X466.jpg,"오른 주먹의 1지를 펴서 끝이 아래로 등이 밖으로 향하게 세운 다음, 1·4지를 펴서 바닥이 왼쪽으로 끝이 밖으로 향하게 한다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005889/MOV000359891_700X466.mp4
ㅙ,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10852,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151227/235771/IMG000231055_700X466.jpg,"오른 주먹의 1지를 펴서 끝이 위로 등이 밖으로 향하게 세운 다음, 1·4지를 펴서 바닥이 밖으로 향하게 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005887/MOV000359889_700X466.mp4
ㅘ,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10848,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151227/235635/IMG000230881_700X466.jpg,"오른 주먹의 1지를 펴서 끝이 위로 등이 밖으로 향하게 세운 다음, 손목을 돌려 바닥이 밖으로 향하게 세운다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005886/MOV000359888_700X466.mp4
ㅗ,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10830,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/235197/IMG000230338_700X466.jpg,오른 주먹의 1지를 펴서 끝이 위로 등이 밖으로 향하게 세운다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005885/MOV000359887_700X466.mp4
예쁘다/곱다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10826,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/235010/IMG000230158_700X466.jpg,오른 주먹의 1지를 펴서 끝을 오른쪽 보조개에 대고 살짝 돌려 손등이 밖으로 향하게 한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630957/MOV000256185_700X466.mp4
승려/스님,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10773,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/235140/IMG000230243_700X466.jpg,오른 주먹의 1지를 펴서 바닥을 이마 중앙에 댔다가 내리며 1지를 접고 5지를 펴서 왼 손바닥에 세운다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/277326/MOV000275724_700X466.mp4
스리랑카,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10767,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190726/604518/IMG000227142_700X466.jpg,"왼손을 펴서 손바닥이 오른쪽으로 향하게 하여 가슴 앞에 세우고, 오른 주먹의 1지를 펴서 왼손바닥 오른쪽에서 밖으로 한 바퀴 돌려 오른 손등이 밖으로 향하게 한다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041795/MOV000360855_700X466.mp4
속/내부/안쪽/안,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12857,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230962/IMG000224840_700X466.jpg,손등이 밖으로 손끝이 오른쪽으로 향하게 편 왼 손바닥 안에서 오른 주먹의 1지를 펴서 끝이 아래로 향하게 하여 수평으로 원을 그리고 그 가운데를 콕 찍는다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630990/MOV000251864_700X466.mp4
선두/앞서다/앞장,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10714,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232569/IMG000226891_700X466.jpg,"왼손을 펴서 손바닥이 아래로 손끝이 밖으로 향하게 하고, 그 밑으로 오른 주먹의 1지를 펴서 끝이 밖으로 향하게 하여 왼손 뒤에서 왼손 앞으로 내민다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005881/MOV000359883_700X466.mp4
빚/빚지다/부채,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10656,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232527/IMG000226868_700X466.jpg,"오른 주먹의 1지를 펴서 옆면으로 입술 밑을 오른쪽으로 스쳐 낸 다음, 손바닥이 위로 향하게 편 오른손을 안으로 당기며 손가락 끝을 맞댄다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/732936/MOV000253505_700X466.mp4
재활,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10596,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210113/798980/IMG000358221_700X466.jpg,두 주먹의 1지를 펴서 왼쪽으로 눕혔다가 세운다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735719/MOV000259212_700X466.mp4
자진,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10578,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/234826/IMG000229860_700X466.jpg,"오른 주먹의 1지를 펴서 끝이 아래로 향하게 하여 끝으로 명치 부위를 스쳐 올려 바닥이 안으로 향하게 세운 다음, 두 주먹의 1지를 펴서 끝이 아래로 향하게 약간 구부려 두 손을 교대로 내민다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005871/MOV000359873_700X466.mp4
포스터,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10567,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210203/808861/IMG000358329_700X466.jpg,"두 주먹의 1지를 펴서 끝으로 네모를 그리고, 두 주먹의 5지를 바닥이 밖으로 향하게 세워 약간 힘주어 내민 다음, 밑으로 내려 다시 힘주어 내민다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732504/MOV000234572_700X466.mp4
밖에,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10472,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151223/233137/IMG000227647_700X466.jpg,손등이 위로 향하게 편 왼 손등을 오른 주먹의 1지를 펴서 끝으로 스치며 손목을 돌려 내밀어 손바닥이 위로 향하게 한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220803/1006290/MOV000359920_700X466.mp4
뭉치다/단결/단합,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10461,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151218/230148/IMG000223790_700X466.jpg,"오른 주먹의 1지를 펴서 배 오른쪽에 댄 다음, 손가락을 약간 구부린 두 손을 마주 보게 하여 가슴 중앙으로 접근시킨다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220803/1006270/MOV000359918_700X466.mp4
무찌르다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10452,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151221/231728/IMG000225833_700X466.jpg,"1지를 펴서 세운 왼 주먹 등을, 1지를 편 오른 주먹의 4지 밑면으로 쳐 낸다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220803/1006251/MOV000359915_700X466.mp4
뛰어나다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10375,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230571/IMG000224385_700X466.jpg,손바닥이 아래로 손끝이 밖으로 향하게 편 왼 손바닥에 오른 주먹의 1지를 펴서 등을 댔다가 밖으로 내민다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735035/MOV000251495_700X466.mp4
뒤쪽/뒷머리/후방,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10313,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212501/IMG000203065_700X466.jpg,"오른 주먹의 1지를 펴서 끝으로 어깨 뒤를 가리킨 다음, 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005899/MOV000359901_700X466.mp4
단언,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10309,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151118/212299/IMG000202761_700X466.jpg,오른 주먹의 1지를 펴서 입 앞에 세웠다가 밖으로 내밀면서 2‧5지를 튕겨 펴며 손목을 오른쪽으로 돌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041806/MOV000360864_700X466.mp4
멍청하다/생각 없다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10306,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151118/212276/IMG000202725_700X466.jpg,"오른 주먹의 1지를 펴서 오른쪽 관자놀이에 댄 다음, 1지 바닥으로 모로 세운 왼 주먹의 1·5지 사이를 두 번 스쳐 올린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735783/MOV000236502_700X466.mp4
혈압,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10239,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213583/IMG000204348_700X466.jpg,오른 주먹의 1지를 펴서 세워 오른쪽 귀 뒤에서 오르내린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735033/MOV000237610_700X466.mp4
혈기,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10238,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213575/IMG000204336_700X466.jpg,"오른 주먹의 1지를 펴서 옆면으로 입술 밑을 오른쪽으로 스쳐 낸 다음, 손바닥이 위로 향하게 편 왼 손바닥에 오른 손바닥을 댔다가 빠르게 떼어 올린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040114/MOV000360597_700X466.mp4
사진기/찍다/카메라,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10158,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222863/IMG000215048_700X466.jpg,왼손으로 받친 오른 주먹의 1·5지를 펴서 1지 끝이 위로 바닥이 밖으로 향하게 하여 1지를 반쯤 구부린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191024/630553/MOV000244702_700X466.mp4
일등/으뜸/제일/최고/가장/맨/수석,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10155,수형 사진 없음,수형 설명 없음,수어 동영상 없음
우승자,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10106,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151124/215819/IMG000206891_700X466.jpg,"오른 주먹의 1지를 펴서 왼쪽 어깨에 댄 다음, 오른 주먹의 4·5지를 펴서 5지 끝을 코끝에 대고 왼 주먹의 4·5지를 펴서 5지 끝을 오른 주먹의 4지 끝에 대고 일렬로 세워 짧게 힘주어 밖으로 내밀고, 두 주먹의 4·5지를 펴서 끝이 위로 향하게 맞대고 세워 양옆으로 두 번 약간 돌리며 벌린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005790/MOV000359844_700X466.mp4
그다음/다음,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10100,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151128/218042/IMG000209468_700X466.jpg,오른 주먹의 1지를 펴서 끝이 왼쪽으로 향하게 하여 오른쪽 어깨 위에서 밖으로 반원을 그리며 내민다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627219/MOV000240965_700X466.mp4
팥,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10057,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151115/210454/IMG000200563_700X466.jpg,"오른 주먹의 1지를 펴서 옆면으로 입술 밑을 오른쪽으로 스쳐 낸 다음, 오른 주먹의 5지를 펴서 등을 턱에 대고 상하로 움직인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735030/MOV000234890_700X466.mp4
관철/관통/꿰뚫다/알아맞히다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=10026,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151117/211252/IMG000201570_700X466.jpg,손등이 밖으로 향하게 펴서 손가락을 벌려 모로 세운 왼손의 1·2지 사이에 오른 주먹의 1지를 펴서 끼워 넣는다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735222/MOV000235613_700X466.mp4
칼/나이프,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9967,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151229/236563/IMG000232079_700X466.jpg,"왼 주먹의 1지를 펴서 등을, 오른 주먹의 1지를 펴서 중간 바닥으로 두 번 스쳐 내린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630738/MOV000257730_700X466.mp4
천당/천국,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9894,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151229/236808/IMG000232397_700X466.jpg,"오른 주먹의 1지를 펴서 세워 위를 가리킨 다음, 두 손의 손가락을 약간 구부려 마주 보게 세워 전후로 약간 흔든다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285312/MOV000284295_700X466.mp4
짜다/소금/간/깐깐하다/까다롭다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9522,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237819/IMG000233671_700X466.jpg,두 주먹을 마주 보게 하여 전후로 엇갈리게 돌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041841/MOV000360896_700X466.mp4
어색하다,None,None,None,None
ㅓ,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9828,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/236192/IMG000231602_700X466.jpg,오른 주먹의 1지를 펴서 바닥이 왼쪽으로 끝이 밖으로 향하게 한다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005757/MOV000359834_700X466.mp4
코앞,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9741,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20210203/808839/IMG000358308_700X466.jpg,오른 주먹의 1지를 펴서 끝을 코에 댔다가 손바닥이 아래로 향하게 반쯤 구부린 오른손을 가슴 앞에서 약간 내리다가 멈춘다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732476/MOV000260270_700X466.mp4
장난,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9689,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237457/IMG000233213_700X466.jpg,두 주먹의 1지를 펴서 바닥이 밖으로 향하게 하여 양어깨 위에 세워 좌우로 두 번 엇갈리게 흔든다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735706/MOV000258634_700X466.mp4
장교/군교,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9685,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237452/IMG000233204_700X466.jpg,손등이 위로 향하게 쥔 왼 주먹의 손목 등에 오른 주먹 등을 대고 1·2·3·4지를 차례로 펴면서 왼팔을 스쳐 올린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005750/MOV000359828_700X466.mp4
추진,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9672,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237974/IMG000233881_700X466.jpg,손끝이 오른쪽으로 향하게 펴서 모로 세운 왼 손바닥에 오른 주먹의 1지를 펴서 끝을 대고 밖으로 내민다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735022/MOV000259174_700X466.mp4
추월/앞지르기,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9669,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237967/IMG000233869_700X466.jpg,"1지를 펴서 등이 위로, 끝이 밖으로 향하게 쥔 오른 주먹을 같은 모양의 왼 주먹 뒤에 놓았다가 왼 주먹 앞으로 내민다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735021/MOV000259163_700X466.mp4
추억/상기/추상/회상/회고,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9668,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237966/IMG000233867_700X466.jpg,오른 주먹의 1지를 펴서 끝을 오른쪽 관자놀이에 댔다가 두 번 구부렸다 펴며 밖으로 올린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200813/728892/MOV000243160_700X466.mp4
찌르다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9650,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237958/IMG000233853_700X466.jpg,"왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 오른 주먹의 1지를 펴서 바닥으로 왼 주먹의 5지 옆면을 스쳐 내민다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041833/MOV000360889_700X466.mp4
진노,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9633,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237337/IMG000233124_700X466.jpg,두 주먹의 1지를 펴서 세워 머리 양쪽에 댔다가 위로 벌린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735020/MOV000258557_700X466.mp4
조종,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9616,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237895/IMG000233795_700X466.jpg,"왼 주먹의 5지를 펴서 바닥이 밖으로 향하게 세우고, 오른 주먹의 1지를 펴서 끝이 왼 주먹의 5지 등으로 향하게 하여, 두 손을 동시에 좌우로 두 번 움직인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005730/MOV000359827_700X466.mp4
1층(일층),https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9591,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238384/IMG000234423_700X466.jpg,"(1층을 나타내고자 하는 경우에는) 1지를 펴서 끝이 밖으로 향하게 쥔 두 주먹을 모로 세워 맞댔다가 양옆으로 벌린다( 2, 3, 4, … 층을 나타내고자 하는 경우에는 지숫자 2, 3, 4의 수형을 만든 두 손을 맞댔다가 양옆으로 벌린다).",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041835/MOV000360891_700X466.mp4
재빠르다/기미/눈치,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9588,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237873/IMG000233760_700X466.jpg,"오른 주먹의 1지를 펴서 끝을 오른쪽 눈 밑에 댄 다음, 오른 주먹의 1·5지를 펴서 왼쪽으로 빠르게 움직이며 1·5지 끝을 맞댄다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785549/MOV000357193_700X466.mp4
잠자코,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9572,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237368/IMG000233018_700X466.jpg,"오른 주먹의 1지를 펴서 세워 옆면을 입술 중앙에 댄 다음, 두 손을 펴서 손바닥이 위로 손끝이 옆으로 향하게 하여 천천히 아래로 내린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041836/MOV000360892_700X466.mp4
추리/추론,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9556,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237848/IMG000233721_700X466.jpg,"오른 주먹의 1지를 펴서 끝을 오른쪽 관자놀이에 댄 다음, 두 주먹의 1지를 펴서 ‘X’자로 맞댔다가 양옆으로 벌리는 동작을 두 번 반복한다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785548/MOV000357192_700X466.mp4
착하다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9528,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238340/IMG000234351_700X466.jpg,"오른 주먹의 1지를 펴서 끝을 배에 댄 다음, 오른 주먹을 코에 1·5지 옆면이 닿게 댄다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733417/MOV000259560_700X466.mp4
일치/동감/동의/공감,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=12071,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151224/233989/IMG000228816_700X466.jpg,손바닥이 위로 손끝이 밖으로 향하게 편 두 손을 나란히 놓았다가 가운데로 접근시켜 4지 옆면을 맞댄다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735753/MOV000255065_700X466.mp4
인상(을) 쓰다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9406,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151116/210739/IMG000200920_700X466.jpg,두 주먹의 1지를 펴서 끝이 위로 향하게 세워 양쪽 눈앞에서 구부렸다 폈다 하며 번갈아 오르내린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735694/MOV000235151_700X466.mp4
가담/들어가다/참가/참석/참여/출석/진출,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=11006,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234129/IMG000228986_700X466.jpg,"왼손을 펴서 손바닥이 오른쪽으로 향하게 비스듬히 세우고, 그 오른쪽 뒤에서 오른 주먹의 1지를 펴서 끝이 밖으로 향하게 하여 왼 손바닥 오른쪽으로 밀어 넣는다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631864/MOV000250932_700X466.mp4
싱겁다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9242,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234487/IMG000229378_700X466.jpg,"오른 주먹의 1지를 펴서 입 오른쪽에 대고 빠는 동작을 한 다음, 자연스럽게 펴서 손바닥이 아래로 향하게 하여 힘없이 아래로 내린다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630041/MOV000255526_700X466.mp4
부럽다,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9167,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190730/605404/IMG000227883_700X466.jpg,오른 주먹의 1지를 펴서 끝을 오른쪽 입가에 댔다가 약간 내린다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630005/MOV000254328_700X466.mp4
분석/해석,None,None,None,None
백만,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9139,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151224/233848/IMG000228551_700X466.jpg,"오른 주먹의 1지를 펴서 아래에서 왼쪽으로 돌려 올린 다음, 손끝이 밖으로 향하게 하여 5지 끝에 나머지 손가락 끝을 모아 붙인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004604/MOV000359684_700X466.mp4
배탈,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9135,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151224/233839/IMG000228538_700X466.jpg,"오른 주먹의 1지를 펴서 배를 가리키고, 오른손의 손가락을 구부려 끝을 배에 대고 상하로 흔든다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041850/MOV000360905_700X466.mp4
압류/차압,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9124,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151223/233328/IMG000227868_700X466.jpg,"오른 주먹의 1지를 펴서 옆면으로 입술 밑을 오른쪽으로 스쳐 낸 다음, 오른 주먹의 1·2지를 펴서 바닥이 밖으로 향하게 세워 약간 내민다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735224/MOV000254316_700X466.mp4
발견,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9115,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151223/233258/IMG000227843_700X466.jpg,오른 주먹의 1지를 펴서 끝 바닥을 오른쪽 눈 밑에 댔다가 떼어 손바닥이 위로 향하게 편 왼 손바닥에 댄다.,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734998/MOV000254294_700X466.mp4
엑스레이/엑스선,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9098,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234387/IMG000229267_700X466.jpg,"두 주먹의 1지를 펴서 ‘X’자로 맞댄 다음, 오른손을 가슴에 댔다가 내밀며 손끝을 모은다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733393/MOV000255445_700X466.mp4
초등학생/초교생/초등생,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9024,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237642/IMG000233329_700X466.jpg,"왼 주먹의 1·2지를 벌려 펴서 등이 밖으로 끝이 오른쪽으로 향하게 하고, 그 사이에 오른 주먹의 1지를 펴서 오른쪽에서 끼운 다음, 오른손은 이마 오른쪽에서 왼손은 왼쪽 옆구리에서, 오른손은 아래위로, 왼손은 위아래로 두 번 움직인다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785528/MOV000357173_700X466.mp4
초등학교,https://sldict.korean.go.kr/front/sign/signContentsView.do?origin_no=9023,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237640/IMG000233326_700X466.jpg,"왼 주먹의 1·2지를 벌려 펴서 등이 밖으로 끝이 오른쪽으로 향하게 하고, 그 사이에 오른 주먹의 1지를 펴서 오른쪽에서 끼운 다음, 두 손을 펴서 손끝이 위로 손등이 밖으로 향하게 얼굴 앞에 세워 한 번 당긴다.",http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629982/MOV000258723_700X466.mp4
